Name,Type,Form ID,Status,Also Known As,Count
"""Crooked"" House (unmarked)",Personal Site,MZSPB33,Marked/Current,,1
2nd Shift Brewing,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","SLAM2,TGFM11",Marked/Current,,2
4 Hands Brewing Co.,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","PULS13,SLAM2",Marked/Current,,2
4th Street,"""Infrastructure (Streets, Highways, Water Tower)""",AGGA3,Marked/Current,,1
10th St,"""Infrastructure (Streets, Highways, Water Tower)""",CBOHA4,Marked/Current,,1
14th Street,"""Infrastructure (Streets, Highways, Water Tower)""","LOOP13,SLPLA4",Marked/Current,,2
19th St,"""Infrastructure (Streets, Highways, Water Tower)""",HMES4,Marked/Current,,1
24:1 Cinema,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",OFRC2,Marked/Current,,1
37th Street,"""Infrastructure (Streets, Highways, Water Tower)""",SLAM15,Marked/Current,,1
314 St. Louis Missouri,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","MZSPC6,LOOP16,MZSPI4,MZSPI7,CAML12",Potential/Imaginary,,5
367 Drive-in,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",OFRC1,Erased /Demolished,,1
911 North Tucker,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",INDI15,Marked/Current,,1
1904 Summer Olympics (Games of the III Olympiad at Washington University),Notable Site,WCRC20,Erased /Demolished,,1
4562 Enright Avenue,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",PULS7,Marked/Current,,1
A Monument of Geeky Queerness,"""Artwork (Statue, Sculpture)""",TGPF29,Potential/Imaginary,,1
A.M. Jackson Math & Science Academy,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",HMES4,Marked/Current,,1
Aamitius' Bookstore,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",AGGA1,Erased /Demolished,,1
Abandoned Church near the Fox Theater,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",SLAM7,Erased /Demolished,,1
Abandoned Schools (unmarked),"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",MZSPJ2,Marked/Current,,1
Academy Neighborhood,Neighborhood (Internal and External Lines),,Marked/Current,,0
African Arts Festival,Notable Site,OFRC2,Marked/Current,,1
Aldi's,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",PULS5,Marked/Current,,1
Aldine Ave,"""Infrastructure (Streets, Highways, Water Tower)""",JCLB10,Marked/Current,,1
Alexander Lacey Lyle House,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",INDI15,Marked/Current,,1
Aloha Skating Rink,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",CCFV1,Erased /Demolished,,1
Alone Monument,"""Artwork (Statue, Sculpture)""",RPSL1,Potential/Imaginary,,1
Alpha Brewing Company,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",TGFM11,Marked/Current,,1
Alton River Road,"""Infrastructure (Streets, Highways, Water Tower)""",OFRC1,Marked/Current,,1
"Alton, IL",Other Places,SFSL27,Marked/Current,,1
