Name,Abbreviation,Date,Location,Description,Total,Forms
Arch Grounds-Gateway Arch,,7/18/2019,Arch Grounds,,19,"AGGA1,AGGA2,AGGA3,AGGA4,AGGA5,AGGA6,AGGA7,AGGA8,AGGA9,AGGA10,AGGA11,AGGA12,AGGA13,AGGA14,AGGA15,AGGA16,AGGA17,AGGA18,AGGA19"
ArtHouse Foodshare,AHFS,6/6/2019,Art House,Food Share at Art House,9,"AHFS1,AHFS2,AHFS3,AHFS4,AHFS5,AHFS6,AHFS7,AHFS8,AHFS9"
Cherokee Rec Center,CRC,6/13/2019,Cherokee Rec Center,Walk in visitors to the rec center,8,"CRC1,CRC2,CRC3,CRC4,CRC5,CRC6,CRC7,CRC8"
Cherokee Street Reach Festival,CSRF,8/3/2019,Potomac between Jefferson and Miami,Community Block Party,7,"CSRF1,CSRF2,CSRF3,CSRF4,CSRF5,CSRF6,CSRF7"
City Garden Lunchtime Series Concert,,6/17/2019,City Garden,,7,"CLSC1,CLSC2,CLSC3,CLSC4,CLSC5,CLSC6"
City Hall for City Business Open Hours (A),CBOHA,7/11/2019,St. Louis City Hall,Open house of STL businesses,4,"CBOHA1,CBOHA2,CBOKA3,CBOHA4"
City Hall for City Business Open Hours (B),CBOHB,7/12/2019,St. Louis City Hall,Open house for STL businesses,4,"CBOHB1,CBOHB2,CBOHB3,CBOHB4"
Contemporary Art Museum First Friday,CAMF,7/5/2019,Contemporary Art Museum St. Louis,First Friday event at CAMSTL - Latinx Arts Network invited,3,"CAMF1,CAMF2,CAMF3"
Contemporary Art Museum-Latinx Artist Network,CAML,7/31/2019,,,12,"CAML1,CAML2,CAML3,CAML4,CAML5,CAML6,CAML7,CAML8,CAML9,CAML10,CAML11,CAML12"
Delmar Loop,LOOP,5/6/2019,University City,Street in U-City,16,"LOOP1,LOOP2,LOOP3,LOOP4,LOOP5,LOOP6,LOOP7,LOOP8,LOOP9,LOOP10,LOOP11,LOOP12,LOOP13,LOOP14,LOOP15,LOOP16"
Example Event,EXNO,5/19/2019,Philadelphia,PA,2,
Forest Park Pagoda Circle(A),FPCA,7/24/2019,Forest Park,,4,"FPPCA1,FPPCA2,FPPCA3,FPPCA4"
House of Miles East St. Louis,HMES,8/17/2019,House of Miles ,,12,"HMES1,HMES2,HMES3,HMES4,HMES5,HMES6,HMES7,HMES8,HMES9,HMES10,HMES11,HMES12"
Indi Hop Fest,INDI,6/1/2019,Cherokee Street,Beer festival on Cherokee Street,15,"INDI1,INDI2,INDI3,INDI4,INDI5,INDI6,INDI7,INDI8,INDI9,INDI10,INDI11,INDI12,INDI13,INDI14,INDI15"
JuneTeenth Celebration,JCLB,6/16/2019,Love Bank Park on Cherokee,JuneTeenth Celebration by Pacia Elaine Anderson,11,"JCLB1,JCLB2,JCLB3,JCLB4,JCLB5,JCLB6,JCLB7,JCLB8,JCLB9,JCLB10,JCLB11"
Lafayette Square Restoration Committee,LSRC,6/11/2019,SqWire's Restaurant,Neighborhood meeting,7,"LSRC1,LSRC2,LSRC3,LSRC4,LSRC5,LSRC6,LSRC7"
